fedStateKey;fedState;city;carPlate;lat;long;hospitalName;operator
1;Schleswig-Holstein;Bad Schwartau;OH;53,92244;10,69393;Helios Agnes Karl Krankenhaus Bad Schwartau;privat
1;Schleswig-Holstein;Heide;HEI;54,19902;9,08083;Westkuestenklinikum Heide;oeffentlich
1;Schleswig-Holstein;Flensburg;FL;54,79061;9,42656;DIAKO Klinikum;gemeinnuetzig
1;Schleswig-Holstein;Kiel;KI;54,33072;10,1435;Universitaetsklinikum Schleswig-Holstein Campus Kiel;oeffentlich
1;Schleswig-Holstein;Luebeck;HL;53,83948;10,70903;Universitaetsklinikum Schleswig-Holstein Campus Luebeck;oeffentlich
1;Schleswig-Holstein;Neumuenster;NMS;54,06553;9,99257;FEK - Friedrich-Ebert-Krankenhaus Neumuenster;oeffentlich
2;Hamburg;Hamburg;HH;53,45968;9,95009;Asklepios Klinikum Harburg;privat
2;Hamburg;Hamburg;HH;53,5071;10,17726;BG Klinikum Hamburg;gemeinnuetzig
2;Hamburg;Hamburg;HH;53,67478;10,02869;Asklepios Klinik Nord;privat
2;Hamburg;Hamburg;HH;53,55499;9,90251;Asklepios Klinik Altona;privat
2;Hamburg;Hamburg;HH;53,56091;10,017;Asklepios Klinik St. Georg;privat
2;Hamburg;Hamburg;HH;53,47758;9,93667;Helios ENDO-Klinik Hamburg;privat
2;Hamburg;Hamburg;HH;53,494023;10,20694;Praxis-Klinik Bergedorf;privat
2;Hamburg;Hamburg;HH;53,59124;9,97326;Universitaetsklinik fuer Neurochirurgie Hamburg-Eppendorf;oeffentlich
3;Niedersachsen;Bad Pyrmont;HM;51,98516;9,273271;Agaplesion Ev. Bathildiskrankenhaus;gemeinnuetzig
3;Niedersachsen;Braunschweig;BS;52,23851;10,54703;Staedtisches Klinikum Braunschweig;oeffentlich
3;Niedersachsen;Goettingen;GÖ;51,55036;9,94261;Universitaetsmedizin Goettingen;oeffentlich
3;Niedersachsen;Hannover;H;52,38406;9,80552;Medizinische Hochschule Hannover;oeffentlich
3;Niedersachsen;Hannover;H;52,37062;9,72482;DIAKOVERE Friederikenstift Humbodtstraße;gemeinnuetzig
3;Niedersachsen;Hannover;H;52,39237;9,71593;KRH Klinikum Nordstadt;oeffentlich
